Accession 	Parent Location 	Collected Location 	Method 	Order	Gene attempts	28S attempt	COI attempt	LCA order, if available	Combined order
NZAC03009060	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009061	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03009062	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009063	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009064	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03009065	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009066	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009067	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009068	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03009069	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009070	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009072	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Arachnida	Both	28S	COI		Arachnida
NZAC03009073	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009074	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009076	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009077	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009081	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009082	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009084	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009085	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009087	Plot 1 	Subplot L 	Leaf Litter Collection 	Lepidoptera	28S only	28S			Lepidoptera
NZAC03009089	Plot 1 	Subplot L 	Leaf Litter Collection 	Insecta	28S only	28S		Lepidoptera	Lepidoptera
NZAC03009090	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009091	Plot 1 	Subplot L 	Leaf Litter Collection 	Isopoda	28S only	28S			Isopoda
NZAC03009093	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03009094	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009095	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03009096	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009097	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009098	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009099	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009100	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009101	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009102	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009103	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009104	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03009105	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03009106	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03009107	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Opiliones	Both	28S	COI	Opiliones	Opiliones
NZAC03009108	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009109	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009110	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009111	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009112	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009113	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009114	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009115	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
