Accession 	Parent Location 	Collected Location 	Method 	Order	Gene attempts	28S attempt	COI attempt	LCA order, if available	Combined order
NZAC03011583	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011584	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011585	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03011586	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011587	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03011588	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI		Lepidoptera
NZAC03011589	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011590	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03011591	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011592	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011593	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011594	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03011595	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011596	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011597	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011598	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011600	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011601	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011603	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011604	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011605	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011606	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Opiliones	Both	28S	COI		Opiliones
NZAC03011607	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Thysanoptera	Both	28S	COI	Thysanoptera	Thysanoptera
NZAC03011608	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011609	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Insecta	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011610	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011611	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011612	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011613	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011614	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03011615	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011616	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011617	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI		Araneae
NZAC03011618	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011619	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011620	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011621	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011622	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03011623	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011624	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03011625	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011627	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011628	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03011629	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Diptera	28S only	28S			Diptera
NZAC03011631	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011632	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03011633	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011634	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011635	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011636	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI		Hemiptera
NZAC03011637	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011638	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03011640	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03011641	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011642	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011643	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011644	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011645	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011646	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011647	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011648	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011649	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011650	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Insecta	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011651	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Coleoptera	28S only	28S		Coleoptera	Coleoptera
NZAC03011652	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI		Diptera
NZAC03011653	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Glomerida	Both	28S	COI		Glomerida
NZAC03011654	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03011656	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011657	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011659	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03011660	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Arthropoda	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011661	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011662	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011663	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Thysanoptera	Both	28S	COI	Thysanoptera	Thysanoptera
NZAC03011664	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Hemiptera	Hemiptera
NZAC03011665	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03011666	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03011667	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011668	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011669	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011670	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011671	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011672	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011675	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011679	Plot 6 	Subplot I 	Leaf Litter Collection 	Lithobiomorpha	Both	28S	COI		Lithobiomorpha
NZAC03011685	Plot 6 	Subplot I 	Leaf Litter Collection 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03011688	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011706	Plot 6 	Subplot I 	Leaf Litter Collection 	Lepidoptera	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011708	Plot 6 	Subplot I 	Leaf Litter Collection 	Empty vial	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011710	Plot 6 	Subplot I 	Leaf Litter Collection 	Isopoda	Both	28S	COI	Isopoda	Isopoda
NZAC03011712	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011713	Plot 6 	Subplot I 	Leaf Litter Collection 	Diplopoda	Both	28S	COI		Diplopoda
NZAC03011721	Plot 6 	Subplot I 	Leaf Litter Collection 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03011724	Plot 6 	Subplot I 	Leaf Litter Collection 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03011725	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI		Diptera
NZAC03011727	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011728	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011757	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03011758	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI		Lepidoptera
NZAC03011759	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	0	Both	28S	COI		0
NZAC03011760	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011761	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI		Hemiptera
NZAC03011762	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011763	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI		Lepidoptera
NZAC03011764	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03011765	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI		Lepidoptera
NZAC03011766	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011767	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011768	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011769	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011787	Plot 6 	Subplot I 	Leaf Litter Collection 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03011788	Plot 6 	Subplot I 	Leaf Litter Collection 	Opiliones	Both	28S	COI	Opiliones	Opiliones
NZAC03011791	Plot 6 	Subplot I 	Leaf Litter Collection 	Isopoda	Both	28S	COI		Isopoda
NZAC03011793	Plot 6 	Subplot I 	Leaf Litter Collection 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03011797	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011802	Plot 6 	Subplot I 	Leaf Litter Collection 	Lithobiomorpha	Both	28S	COI	Lithobiomorpha	Lithobiomorpha
NZAC03011807	Plot 6 	Subplot I 	Leaf Litter Collection 	Isopoda	Both	28S	COI	Isopoda	Isopoda
NZAC03011809	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011810	Plot 6 	Subplot I 	Leaf Litter Collection 	Lepidoptera	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011812	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011813	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	(Gastropoda)	(Gastropoda)
NZAC03011814	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI		Araneae
NZAC03011815	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011816	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Polydesmida	Polydesmida
NZAC03011817	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03011818	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011819	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03011820	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011821	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011822	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI		Hymenoptera
NZAC03011823	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011824	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011825	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011826	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Isopoda	Both	28S	COI		Isopoda
NZAC03011827	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Isopoda	Both	28S	COI		Isopoda
NZAC03011828	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03011829	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011830	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Amphipoda	Amphipoda
NZAC03011831	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Araneae	Araneae
NZAC03011832	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011833	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03011834	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03011835	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03011836	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011837	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03011838	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Lithobiomorpha	Both	28S	COI	Lithobiomorpha	Lithobiomorpha
NZAC03011839	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI		Hemiptera
NZAC03011840	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03011841	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03011842	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	0	Both	28S	COI	Araneae	Araneae
NZAC03011843	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011844	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03011845	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011846	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03011847	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI		Lepidoptera
NZAC03011848	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011849	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011850	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03011851	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03011852	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03011853	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011854	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011855	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011856	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011857	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03011858	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011859	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	(Gastropoda)	(Gastropoda)
NZAC03011860	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011861	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011862	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011863	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011864	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI		Hymenoptera
NZAC03011865	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03011866	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011867	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI		Diptera
NZAC03011868	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011869	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011876	Plot 6 	Subplot I 	Leaf Litter Collection 	Lepidoptera	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011879	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011885	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011886	Plot 6 	Subplot N 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011890	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011894	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011895	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011896	Plot 6 	Subplot I 	Leaf Litter Collection 	Lepidoptera	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011897	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Diplopoda	Both	28S	COI	Polydesmida	Polydesmida
NZAC03011898	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011899	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03011900	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03011901	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Isopoda	Both	28S	COI		Isopoda
NZAC03011902	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03011903	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011904	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03011905	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Isopoda	Both	28S	COI		Isopoda
NZAC03011906	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03011907	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Diplopoda	Both	28S	COI		Diplopoda
NZAC03011908	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011909	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011910	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011911	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Geophilomorpha	Both	28S	COI	Geophilomorpha	Geophilomorpha
NZAC03011912	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011913	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011914	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	0	Both	28S	COI		0
NZAC03011915	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03011916	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI		Diptera
NZAC03011917	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI		Diptera
NZAC03011918	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011919	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03011920	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03011921	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI		Diptera
NZAC03011922	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03011923	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03011924	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03011927	Plot 5 	Subplot I 	Leaf Litter Collection 	0	28S only	28S			0
NZAC03011928	Plot 8 	Subplot O 	Leaf Litter Collection 	Diplopoda	Both	28S	COI		Diplopoda
