Accession 	Gene	Parent Location 	Collected Location 	Method 	Order	LCA order (if available)	Combined order
NZAC03009006	COI	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03009025	COI	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03009028	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03009032	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03009034	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Arthropoda	0	(Arthropoda)
NZAC03009037	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	(Gastropoda)	(Gastropoda)
NZAC03009048	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03009049	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03009050	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	(Gastropoda)	(Gastropoda)
NZAC03009062	COI	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009064	COI	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Orthoptera	Orthoptera	Orthoptera
NZAC03009072	COI	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Arachnida	0	(Arachnida)
NZAC03009076	COI	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009085	COI	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009108	COI	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009113	COI	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009126	COI	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009149	COI	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
NZAC03009152	COI	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009163	COI	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009169	COI	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009176	COI	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03009230	COI	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Isopoda	Isopoda	Isopoda
NZAC03009232	COI	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009233	COI	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009249	COI	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009273	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Lepidoptera	Lepidoptera	Lepidoptera
NZAC03009299	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	0	(Gastropoda)	(Gastropoda)
NZAC03009301	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Arthropoda	0	(Arthropoda)
NZAC03009314	COI	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03009315	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	(Gastropoda)	(Gastropoda)
NZAC03009324	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03009329	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03010144	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03010151	COI	Plot 7 	Subplot M 	Leaf Litter Collection 	Araneae	Araneae	Araneae
