Accession 	Gene	Parent Location 	Collected Location 	Method 	Order	LCA order (if available)	Combined order
NZAC03011049	Both	CM30c30 	Subplot L 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03011084	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Lepidoptera	0	Lepidoptera
NZAC03011088	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03011095	Both	CM30c30 	Subplot L 	Leaf Litter Collection 	Isopoda	0	Isopoda
NZAC03011101	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03011103	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03011109	Both	CM30c30 	Subplot L 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03011110	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03011153	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Araneae	Araneae	Araneae
NZAC03011168	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03011175	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011190	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Arachnida	0	(Arachnida)
NZAC03011191	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Hymenoptera	0	Hymenoptera
NZAC03011192	Both	Plot 6 	Subplot N 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03011193	28S	Plot 6 	Subplot N 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03011222	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Hemiptera	Hemiptera	Hemiptera
NZAC03011242	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03011247	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03011254	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Diplopoda	0	(Diplopoda)
NZAC03011255	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Pseudoscorpiones	Pseudoscorpiones	Pseudoscorpiones
NZAC03011257	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Pseudoscorpiones	0	Pseudoscorpiones
NZAC03011263	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Insecta	0	(Insecta)
NZAC03011264	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011273	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Hemiptera	0	Hemiptera
NZAC03011278	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Gastropoda	0	(Gastropoda)
NZAC03011282	Both	Plot 6 	Subplot N 	Leaf Litter Collection 	Isopoda	0	Isopoda
NZAC03011306	28S	Plot 6 	Subplot N 	Leaf Litter Collection 	Lepidoptera	Lepidoptera	Lepidoptera
NZAC03011314	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011318	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Diplopoda	0	(Diplopoda)
NZAC03011327	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Diplopoda	0	(Diplopoda)
NZAC03011330	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011345	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Diplopoda	(Diplopoda)	(Diplopoda)
NZAC03011349	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03011373	Both	Plot 8 	Subplot O 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03011381	Both	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03011394	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011395	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Empty vial	Pseudoscorpiones	Pseudoscorpiones
NZAC03011397	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03011398	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03011400	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Arthropoda	0	(Arthropoda)
NZAC03011401	Both	Plot 2 	Subplot C 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03011402	28S	Plot 2 	Subplot C 	Leaf Litter Collection 	Lepidoptera	Lepidoptera	Lepidoptera
NZAC03011420	Both	Plot 6 	Subplot N 	Leaf Litter Collection 	Isopoda	0	Isopoda
NZAC03011422	28S	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Hemiptera	Hemiptera	Hemiptera
NZAC03011425	28S	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03011427	28S	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03011428	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011429	28S	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03011437	Both	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011443	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03011445	28S	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011447	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011448	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03011450	Both	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03011453	28S	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03011460	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011461	28S	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011462	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Pseudoscorpiones	0	Pseudoscorpiones
NZAC03011464	28S	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Arthropoda	(Arthropoda)	(Arthropoda)
NZAC03011471	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03011472	Both	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03011473	Both	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Araneae	0	Araneae
NZAC03011474	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011476	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
NZAC03011480	28S	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03011483	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011488	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011489	28S	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
NZAC03011499	Both	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Araneae	0	Araneae
NZAC03011500	Both	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	0	0	0
NZAC03011501	Both	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03011502	28S	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	0	Thysanoptera	Thysanoptera
NZAC03011504	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011505	28S	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03011507	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011510	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03011511	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Glomerida	0	Glomerida
NZAC03011512	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011513	28S	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	Spirostreptida	Spirostreptida
NZAC03011514	28S	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	Diptera	Diptera
NZAC03011517	28S	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011518	28S	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011520	Both	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011522	28S	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Insecta	Lepidoptera	Lepidoptera
NZAC03011527	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03011528	28S	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011530	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03011534	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011540	Both	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011541	28S	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03011543	28S	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	(Endopterygota)	(Endopterygota)
NZAC03011544	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011545	Both	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011546	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011553	28S	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011555	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
NZAC03011556	28S	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	0	(Endopterygota)	(Endopterygota)
NZAC03011559	Both	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011564	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Araneae	0	Araneae
NZAC03011565	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011567	28S	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	Diptera	Diptera
NZAC03011572	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011585	28S	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03011586	Both	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011587	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03011588	Both	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03011590	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03011594	Both	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011595	Both	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011604	28S	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011606	Both	Plot 6 	Subplot B 	Invertebrate Pitfall Trap 	Opiliones	0	Opiliones
NZAC03011612	Both	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011613	Both	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011614	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03011615	Both	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011617	Both	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Araneae	0	Araneae
NZAC03011619	Both	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011628	28S	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03011629	28S	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03011636	Both	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Hemiptera	0	Hemiptera
NZAC03011643	28S	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011650	28S	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Insecta	Lepidoptera	Lepidoptera
NZAC03011653	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Glomerida	0	Glomerida
NZAC03011654	Both	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011667	Both	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011668	Both	Plot 3 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011671	Both	Plot 4 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011706	28S	Plot 6 	Subplot I 	Leaf Litter Collection 	Lepidoptera	Lepidoptera	Lepidoptera
NZAC03011725	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03011757	28S	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03011758	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03011759	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	0	0	0
NZAC03011761	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Hemiptera	0	Hemiptera
NZAC03011763	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03011764	28S	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03011765	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03011793	28S	Plot 6 	Subplot I 	Leaf Litter Collection 	Hemiptera	Hemiptera	Hemiptera
NZAC03011797	28S	Plot 6 	Subplot I 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011815	28S	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011817	28S	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03011818	28S	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011826	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Isopoda	0	Isopoda
NZAC03011827	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Isopoda	0	Isopoda
NZAC03011828	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03011830	28S	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Empty vial	Amphipoda	Amphipoda
NZAC03011835	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03011839	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Hemiptera	0	Hemiptera
NZAC03011840	28S	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03011841	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011843	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011844	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03011847	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03011851	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011852	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011857	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011864	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03011865	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03011866	28S	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011867	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03011899	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011900	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011901	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Isopoda	0	Isopoda
NZAC03011904	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011906	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011907	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Diplopoda	0	(Diplopoda)
NZAC03011910	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011915	Both	Plot 5 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011916	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03011917	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03011920	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03011921	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03011923	28S	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03011927	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03011946	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	(Endopterygota)	(Endopterygota)
NZAC03011950	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03011951	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011960	28S	Plot 6 	Subplot I 	Leaf Litter Collection 	0	(Arthropoda)	(Arthropoda)
NZAC03012077	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	Geophilomorpha	Geophilomorpha	Geophilomorpha
NZAC03012095	28S	Plot 6 	Subplot I 	Leaf Litter Collection 	Hemiptera	(Insecta)	(Insecta)
NZAC03012121	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03012170	Both	Plot 6 	Subplot I 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03012183	Both	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012193	Both	Plot 8 	Subplot O 	Leaf Litter Collection 	Diplopoda	0	(Diplopoda)
NZAC03012196	Both	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012199	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Geophilomorpha	0	Geophilomorpha
NZAC03012203	Both	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012205	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Lepidoptera	Lepidoptera	Lepidoptera
NZAC03012222	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012232	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03012237	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Collembola	Collembola	Collembola
NZAC03012255	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Collembola	(Hexapoda)	(Hexapoda)
NZAC03012267	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Pseudoscorpiones	Pseudoscorpiones	Pseudoscorpiones
NZAC03012276	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03012289	Both	Plot 8 	Subplot O 	Leaf Litter Collection 	Isopoda	0	Isopoda
NZAC03012295	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012297	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03012303	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03012309	Both	Plot 4 	Subplot A 	Leaf Litter Collection 	Amphipoda	0	Amphipoda
NZAC03012311	Both	Plot 4 	Subplot A 	Leaf Litter Collection 	Geophilomorpha	0	Geophilomorpha
NZAC03012314	Both	Plot 4 	Subplot A 	Leaf Litter Collection 	Geophilomorpha	0	Geophilomorpha
NZAC03012315	Both	Plot 4 	Subplot A 	Leaf Litter Collection 	Isopoda	0	Isopoda
NZAC03012316	Both	Plot 4 	Subplot A 	Leaf Litter Collection 	Hemiptera	0	Hemiptera
NZAC03012328	28S	Plot 8 	Subplot O 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03012333	Both	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012345	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012348	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03012368	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Pseudoscorpiones	Pseudoscorpiones	Pseudoscorpiones
NZAC03012369	Both	Plot 4 	Subplot A 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012383	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Lepidoptera	Lepidoptera	Lepidoptera
NZAC03012384	Both	Plot 4 	Subplot A 	Leaf Litter Collection 	Amphipoda	0	Amphipoda
NZAC03012385	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03012388	Both	Plot 4 	Subplot A 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012389	Both	Plot 4 	Subplot A 	Leaf Litter Collection 	Geophilomorpha	0	Geophilomorpha
NZAC03012393	28S	Plot 4 	Subplot A 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012411	Both	Plot 4 	Subplot A 	Leaf Litter Collection 	Amphipoda	0	Amphipoda
NZAC03012412	Both	Plot 4 	Subplot A 	Leaf Litter Collection 	Geophilomorpha	0	Geophilomorpha
NZAC03012431	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012447	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012481	28S	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03012488	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	Lepidoptera	Lepidoptera
NZAC03012494	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012497	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012520	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	(Endopterygota)	(Endopterygota)
NZAC03012526	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012534	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	Hemiptera	Hemiptera
NZAC03012546	28S	Plot 8 	Subplot O 	Leaf Litter Collection 	Diplopoda	0	(Diplopoda)
NZAC03012559	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	Lepidoptera	Lepidoptera
NZAC03012565	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012566	Both	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012578	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012595	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	Diplopoda	Polydesmida	Polydesmida
NZAC03012601	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	Hemiptera	Hemiptera
NZAC03012612	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	Lepidoptera	Lepidoptera
NZAC03012613	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	(Endopterygota)	(Endopterygota)
NZAC03012634	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03012648	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012650	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012651	Both	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012663	28S	Plot 8 	Subplot O 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03012692	28S	Plot 3 	Subplot N 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03012697	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03012704	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	Lepidoptera	Lepidoptera
NZAC03012707	28S	Plot 5 	Subplot I 	Leaf Litter Collection 	0	0	0
NZAC03012711	28S	Plot 3 	Subplot N 	Leaf Litter Collection 	Arthropoda	Amphipoda	Amphipoda
NZAC03012722	Both	Plot 3 	Subplot N 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012724	Both	Plot 3 	Subplot N 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03012737	28S	Plot 3 	Subplot N 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03012738	28S	Plot 3 	Subplot N 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03012743	28S	Plot 3 	Subplot N 	Leaf Litter Collection 	Diplopoda	(Diplopoda)	(Diplopoda)
