NZAC	Plot	Method	LCA	LCA_rank	Gene	Phylum	Class	Order
NZAC03009179	Plot_LB1	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009266	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013573	Plot_2	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009263	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009136	Plot_LB1	Pitfall-Trap	Formicidae	family	COI only	Arthropoda	Insecta	Hymenoptera
NZAC03009112	Plot_LB1	Pitfall-Trap	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03009172	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009077	Plot_LB1	Pitfall-Trap	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03009017	Plot_LB1	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009142	Plot_LB1	Pitfall-Trap	Formicidae	family	COI only	Arthropoda	Insecta	Hymenoptera
NZAC03009153	Plot_LB1	Pitfall-Trap	Formicidae	family	COI only	Arthropoda	Insecta	Hymenoptera
NZAC03009018	Plot_LB1	Pitfall-Trap	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03009140	Plot_LB1	Pitfall-Trap	Scarabaeidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03009014	Plot_LB1	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009024	Plot_LB1	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
